artist,score,author
Alice Coltrane,8.0,Matthew Kassel
Charlie Looker,7.6,Andy O'Connor
Galcher Lustwerk,7.7,Kevin Lozano
Gang Gang Dance,7.7,Ben Cardew
MorMor,8.0,Sasha Geffen
Kate NV,8.1,Kevin Lozano
DJ Richard,7.8,Philip Sherburne
John Frusciante,8.0,Sam Sodomsky
Jay Rock,8.0,Sheldon Pearce
Nine Inch Nails,8.0,Sam Sodomsky
Gruff Rhys,7.8,Stuart Berman
Mike Shinoda,3.8,Stephen Kearse
Kamasi Washington,8.8,Nate Chinen
Onyx Collective ,7.6,Jay Balfour
Jacquees,6.9,Jay Balfour
Yuno,7.4,Margaret Farrell
Brendon Anderegg,7.4,Philip Sherburne
Rico Nasty,8.0,Sheldon Pearce
Mourn,7.7,Larry Fitzmaurice
Johnny Marr,6.0,Stephen Thomas Erlewine
Matty,6.6,Jonah Bromwich
Nas,6.1,Stephen Kearse
Leon Vynehall,8.2,Jamieson Cox
Christina Aguilera,6.7,Claire Lobenfeld
Melody’s Echo Chamber,7.1,Ian Cohen
"Beyoncé, JAY-Z",8.2,Briana Younger
R+R=NOW,7.0,Marcus J. Moore
Virginia Wing,7.8,Laura Snapes
Marisa Anderson,7.8,Grayson Haver Currin
Chromeo,5.7,Jesse Dorris
King Princess,7.1,Jackson Howard
Don Cherry,6.0,Daniel Martin-McCormick
Tangents,7.9,Grayson Haver Currin
Curtis Mayfield,9.1,Mychal Denzel Smith
Colin Stetson,7.6,Zach Kelly
Dave Matthews Band,5.0,Jason P. Woodbury
Zeal & Ardor,7.3,Grayson Haver Currin
"Simon & Garfunkel, Dave Grusin",6.2,Stephen M. Deusner
SOPHIE,8.6,Sasha Geffen
Protomartyr,7.7,Jenn Pelly
Laura Jean,6.8,Olivia Horn 
Baba Stiltz,6.9,Philip Sherburne
Rolling Blackouts Coastal Fever,8.1,Stuart Berman
serpentwithfeet,8.1,Sasha Geffen
"Ali Shaheed Muhammad, Adrian Younge",6.7,Brian Josephs
